reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appId
gp:AOqpTOFW9bNI5U6xshXG0boH6nULaQCu3jUM7Xdm426uUlrbxKlGzY9iLFveQ3z9j39TftfKm-JlxKHtTn0aWtQ,Sreeram Mohanan,Google llc i want to talk about the new version of Google meet its just worst version plz bring back the last version its better than the new version plz bring backðŸ™ðŸ™,1,0,,10/2/2020 4:50,,,com.google.android.apps.meetings
gp:AOqpTOHWi7GsKu2LpLKVqsnH7HgxwPuYdfC76mtt5LgC5WmTbqulXSuTMQMbjxckHhDQA2jnsjiF0Ab8ljNXOtA,Om Mahajan,Why i am left meeting when my network is too strong Then why why i was left meeting tell me google,1,0,45.0.328626805,10/2/2020 4:48,,,com.google.android.apps.meetings
gp:AOqpTOEMztxzRyANPM4IDSr8oniIERo5OTzy5eILhMqcBtPOGnG8GbXD0PcD9em7TuIXbTZww5RwxpEQFhxIrvk,Khushal Meshram,Blur screen,1,0,44.0.322189386,10/2/2020 4:46,,,com.google.android.apps.meetings
gp:AOqpTOHpWdOKG1pzboduWK0laaezkNzB8JS-uLt9HWQXBu_tntqL5gzjBmraLmLOrNQyBpaZWGABKPHZHzMvCNA,Lean daniel Laquihon,It says you cant join when your on a phone call even i im not calling somebody,1,0,,10/2/2020 4:45,,,com.google.android.apps.meetings
gp:AOqpTOEiL-Nv8AZtXm7BSpfC2HhjTgVBQmZ5UBBRzSjTyNsqlDy1tRri_va20O5PYcW6Iq07R4AalNpaYny-0I0,Sidharth Sidhu,Some time the screen will change to full white screen I can't see such meetings........,1,0,45.0.328626805,10/2/2020 4:41,,,com.google.android.apps.meetings
gp:AOqpTOFZ-n47mUnFVrw19OjhRhUZfbujaoAr7nIY__xb0Uu4Mxb9KCw5a_dKJebNVjDvLwLwWipt9D148V76GRU,Techy Ishant,Very bad app in the history there are loooooooooooot of bug glitchs,1,0,45.0.328626805,10/2/2020 4:41,,,com.google.android.apps.meetings
gp:AOqpTOGhNLrOOF2iJQiFU5hcR44yQSaUNuM0i6ZM8H-C1aqdVnMTnv_6YoTuSC5gzFP2JtAYAkPrE4g2bWxhdGk,Manish Chevli,Please don't combine lemon(Meet) with Milk(Gmail). I am not going to use Meet.,1,0,,10/2/2020 4:41,,,com.google.android.apps.meetings
gp:AOqpTOG1DStjW6oxz2sLmG42dgbTzZj6d78LiZfJXwqSzY-OnleNx0yxJ16aTGUHpzN8S5IEJaA19Oe2zhgS7YM,Avanthiga,I dont like this app tis is a very bad app,1,0,,10/2/2020 4:36,,,com.google.android.apps.meetings
gp:AOqpTOGI49sOGzcJSqTTgCLKt7Mo8XVgJBu5ws1grFcbpSPbaZMxwk0ajER491AyZrStmcJvwZM2vwK26FiFCFw,ZISHAN UDDIN GAZI,"The new features of this app is worst . It's not comfortable for me , previous features are much better than this features. plz bring the previous version again.",1,0,2020.09.06.332324186.Release,10/2/2020 4:26,,,com.google.android.apps.meetings
gp:AOqpTOHZMlCJnyMI79-RIR1osuVcPHn4e8LptfccQ_m201Ab_QFIQi9t5lJ-UviC5iYkYM7WGn5GiyiaDF-8J5o,Nika Olipane,Minsan di nakakapasok sa meeting,1,0,45.0.328626805,10/2/2020 4:14,,,com.google.android.apps.meetings
gp:AOqpTOGiyGDca6Ch6as3g4WtE9L5O8yla2U5s8l75NfZDEfonMFG4RaZNDMN7YIGYY_Pm3AssKlN3FbtaCj_L8o,Sudheeshthulasi shdheesh,Good,1,0,45.0.328626805,10/2/2020 4:11,,,com.google.android.apps.meetings
