reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appId
gp:AOqpTOHDWY6vhPXG5ACORnxFKfcZZNcDw9pKpgpiZ-eRT6P2kEMPBff7aex9Lbo_BXjEkr15q3bmWXrvkngaTQ,Pradeep singh Parmar,Tell ua bohat problem kar raha he please isko kuch kijijye,1,0,161.0.0.37.121,10/2/2020 4:50,,,com.instagram.android
gp:AOqpTOHTMVZj-ri8p3dKlT6r714eYTIkllViudux06CQKVLq0RGyqCF6Ca4tWQp_wBp9jSf_IdmYRNADizelVw,Levi Eves,New messenger clone update makes dark mode completely pointless! Hurts my eyes and it's an unnecessary eyesore! Just another FB belly flop onto a platform they're already killing.,1,0,,10/2/2020 4:49,,,com.instagram.android
gp:AOqpTOE1cPs3vM6bklT4zvCllA_UB2zizMU-oTwJp1g8wg9yMYC4wQ-ynX77FLYDPnVDNYJj6ktvWsokluwGYw,Savi,i cant even open the app started happening once i updated it,1,0,161.0.0.37.121,10/2/2020 4:48,,,com.instagram.android
gp:AOqpTOF-VrG928Atg8nyidJvRdRt8qlvnvgt_5yRBeJfVo24gchIOVwEIFDPJYsXFJCwoHKm49RGb6LGG5a7kg,Lea C. Etoc,Enjoy,1,0,161.0.0.37.121,10/2/2020 4:44,,,com.instagram.android
gp:AOqpTOEKKYIeYluLBaifH-dTujxIL4qKk2JlsFjErPMPjCkI4Tvl2t1piXl8U1NUWCrmfqzDedPLUuA-nce-Kw,R I T W I K A,It's very good but......while l want to follow someone it tells.....you did a mistake ðŸ˜”ðŸ˜”ðŸ˜ ,1,0,,10/2/2020 4:43,,,com.instagram.android
gp:AOqpTOEE2A9Dkotoiy1lh319JW75NHpdEWC9Rp2WB1ACd_KZzzO3_Oe9wOXgK5a3dt3J_-9DS_Cbr_DBBTddlw,DHANRAJSNIH GOHIL,I'd problem like and comment or follower problem help,1,0,161.0.0.37.121,10/2/2020 4:41,,,com.instagram.android
gp:AOqpTOFGLCxvKN-xkkRpHTO3cj___IBh6vid6tE7XkN2OIX6Zj5DdWvWDL-R9wOZABGMiFMAEw1AV7IZVrPpXg,Sachin Chaturvedi,Aap is good but we need dislike button on reels,1,0,113.0.0.39.122,10/2/2020 4:37,,,com.instagram.android
gp:AOqpTOFD7nbTbAHN-8bxis1U68mp-pAbnj2Sh2omVwhqH8mDFn40LInINbWv3KbS_ddCc9AKHLfPKAzSWfRFww,manish pingoliya,Not Available my instragram I'd in Mugic,1,0,160.0.0.25.132,10/2/2020 4:36,,,com.instagram.android
gp:AOqpTOES9WiyAhwvjKY3p6BguI_M0QcTVkZc16SdnE108fcUOB-GvaYBL3HMdShRFNBuY81sRoG-e8yNBceNfA,Audy Exaudya,"I just give you 4 stars, but after update I cant post a caption!!!!!",1,1,161.0.0.37.121,10/2/2020 4:36,,,com.instagram.android
gp:AOqpTOH9Z2A0xu39gM9qghdBuoSEVswfwcfqL0zpLvdMme7JL9eDgVcztRgZe4i5cj8LY_ZHZWShOGnpDLdHCQ,É´á´‹á´œÉ´á´‹á´œ á´É¢,I couldn't found reels,1,0,161.0.0.37.121,10/2/2020 4:35,,,com.instagram.android
gp:AOqpTOEnV-ZD0UJpRk43v63sE0SvG3Y2aXM5ZVhFbazqsRHJ94BjzFbHJWO-QY1TXov0-lfjU2WfNaiSeFmYxw,AlexÃ¸ HÃ¤ze,Totalitarian. Won't let you freely express your viewpoints if they contrast at all with their narrative. A shame for America.,1,0,161.0.0.37.121,10/2/2020 4:35,,,com.instagram.android
gp:AOqpTOGkpYy1yGKLEADhznE9r1tlOaPWhJV0wlMRyN3EchbHDHjJTraJAF20SSBKa0dpb_dp-fLzuwiNR66TTw,Pankaj Meena,When i add location on my story it doesn't come on my story and the caption is also hide it happens always gave me a proper solution so i add location @instagram,1,0,154.0.0.32.123,10/2/2020 4:30,,,com.instagram.android
gp:AOqpTOEsrNDzsiJDJPsV06YkjIdmVDzRk-fF3o1mqPqgPtsKDPW_85ukWGH7sOx-7PWF6k1Gi302lox2qReXsw,Joseph Richards,Instagram ruined itself with their terrible updates.,1,0,27.0.0.11.97,10/2/2020 4:29,,,com.instagram.android
gp:AOqpTOEogO-0hd7l848x1tBc-nvxA3TRf7MKzau683Am8DwJQ2LNJT4mianHqHxiI6O-PkvjIN1mtyxZQgu--Q,Tank Tyrant,"Most bias echo chamber of news information, 1 star because it literally can't go low enough.",1,0,161.0.0.37.121,10/2/2020 4:29,,,com.instagram.android
lg:AOqpTOFrw_wq0CrksDih4yX5C0yIvh8lFskvw5ACNVE1kffkXuGnTLuKGi9eblB3Jlva1fOBfPFS84u4AWoTNg,A Google user,Shows I have message request but nothing is there. I uninstalled and reinstalled still there.,1,0,161.0.0.37.121,10/2/2020 4:25,,,com.instagram.android
gp:AOqpTOH4fSIaVk8wnvulRvFHOJhjUrWTj0dG61HbZQwrelvFlxw5hFphG0W3TRyZ1LbKmLaxgPsG_YrEiakfsA,Wan H Saidi,I dont have it. Went I want to download it it always say no wifi. My phone wifi is fullðŸ˜¡ðŸ˜¡ðŸ˜¡,1,0,,10/2/2020 4:17,,,com.instagram.android
gp:AOqpTOFokJgFQx6F3pPNJ0B7jSnStnpV7KngxAFxWXEKRjjLggAIpzutbfHTmXXUPgiIElIWd2-9tYWycK3nmw,Andrews,rede social roubadora de atenÃ§Ã£o e auto estima,1,0,,10/2/2020 4:17,,,com.instagram.android
gp:AOqpTOHWi0xVSUXpmEeDZFm0X_7vXoyowztunEHON51illAST6l1PlqPa8or8NYNOMrN9OO3IiNMCxE33-XC_Q,June 714,It sucks,1,0,161.0.0.37.121,10/2/2020 4:15,,,com.instagram.android
gp:AOqpTOHzGZIDxdix59OC2LxtYE0LnNPPixZglVfb_HcGYDzk7CNfDenUE89Q136lE-mX1QzrjfF_WcgCI4btdw,Achal Maddalwar,"facing issue of ""try again later....we restrict some activity to protect our community"" from 2 months...I wasn't active on Instagram from last two months and now when I use it it is showing me error...I also changed my password but no use please solve this problem as soon as possible...or late me know why this is happening... My insta account:- @achal_m_",1,0,161.0.0.37.121,10/2/2020 4:09,,,com.instagram.android
gp:AOqpTOFXeoHeqb_UwYZSyXFqy5K5a7areuEEntRHQrTRZ-djaoTvA9XHxuk19hZDgTztjFdiMF1Jgui7808w4A,Shiellan Pelegrino,BECAUSE MAY FAVORITE IDOL NOTICE ON MY,1,0,161.0.0.37.121,10/2/2020 4:04,,,com.instagram.android
gp:AOqpTOH_OOeYRG9EsnFWOt9BP9DAzS5OuG3f_-vrSEPcgTvKV2i-aHVzxcWG-ULOG_MbdeFh1j16blo0uMdM0Q,sk yashavanth,Want old version,1,0,161.0.0.37.121,10/2/2020 4:00,,,com.instagram.android
