reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appId
gp:AOqpTOHeuOYwzbJq7N419YUvYZiVJIqj8jgX7575h1IryMHlWDLoVROZY5qxRFfuAg1LK0YKertJDH_bJDKPOyE,NEPALI GAMER,I will give 0 star because it lag our phone when i deleted this app my tab work nicely i need to take online class from this app,1,0,1416/1.0.0.2020081801,10/2/2020 4:46,,,com.microsoft.teams
gp:AOqpTOHinFtYkVF31pYBmmHy78d_9JhD2gO87L_ILvqt_1AXGHDZwB9w4b9aDz37Pu-JJ93dILLxBBGp7PDP2a8,Zarmanali786 Amjad,Ok,1,0,,10/2/2020 4:45,,,com.microsoft.teams
gp:AOqpTOEjjkIXYFvKXxUIRksudFnJBGRaJ1w1OV8miRFMoYPXB4hRzyX7eXAHchAmPBGnzi8-uUNXsuTg38UQhxQ,no luck december,noice i cant login bcz of multiple login loops? the freak is this kind of treatment now i have to contact the app developer i paid to use this and u treat me like this,1,0,1416/1.0.0.2020091301,10/2/2020 4:33,,,com.microsoft.teams
gp:AOqpTOGN9OGLJ2OFXeZdmmQeDVwNmz7c7GQk4kdlFzHkUweC4Oxr_LWhom9D6vjUTdaE7wB-rfVLL_bB5Scn_IM,Anshu Harsh,"I even don't want to give it one star but it compulsory for writing comment.. Oh my God it is the most worst app, I have used till now.ðŸ¥µðŸ¥µ How many password it requires ðŸ˜ . It is not signing me, and tomorrow is my mid-term final exam, How will I doðŸ˜«ðŸ˜«ðŸ˜«",1,0,1416/1.0.0.2020091301,10/2/2020 4:26,,,com.microsoft.teams
gp:AOqpTOFxRMRL1kNNKZPyEkL9heemLbhCMkdXL72GoifXTQXtjeoEOCdnMp-svZqzJPeRGnhC_msxrmKFBjMFfLc,Tushar Guru ji,Tere nmbje se lockdown me bhi pdhai karni pdhti heðŸ˜¡ðŸ˜¡,1,0,1416/1.0.0.2020071401,10/2/2020 4:25,,,com.microsoft.teams
gp:AOqpTOEZBdu8S8GXPzlSeqCzjwVKNPL_fauSXxglR2PczAdHMsN80SYkNbfd2d_SyW5wtsae1RqnLMDmaIL5-lk,Dr. Jatindar Chaubey,Sing problem,1,0,1416/1.0.0.2020061103,10/2/2020 4:24,,,com.microsoft.teams
gp:AOqpTOFYPA5B-O_KkgmohI2R6szIAWez0zSdd2fAooO3JtVWfB-gbeFrk5qhN839Oc7eEJEWlmwgF-sIzVYZiDw,Kurniawan Kusuma,"Very bad, it's pop-up automaticly on my screen phone after swap off the application it will be appear again on 1 - 3 min later.. it's make me very annoying.",1,0,1416/1.0.0.2020091301,10/2/2020 4:23,,,com.microsoft.teams
gp:AOqpTOERv4pq3qafjhjTVWIQPeF_2aH_RFwVREemy4IKqYRBAgu1-Fp55NcdbDCHpBSgANSAL2eCUgohXf496jM,Sarswati Kc,This is really really so bad app ðŸ˜ ðŸ˜ ðŸ˜ if you. Try once you will surely delete this app,1,0,1416/1.0.0.2020091301,10/2/2020 4:08,,,com.microsoft.teams
gp:AOqpTOHYiR9DIzVJjLP0bZ9JWe8J-qwrevNmL92Y03STVx9YAGau15bLqFyjie-nbFmXzp-J1PGsiMDnLJaH9Xw,Háº£i QuÃ¢n HoÃ ng,It automatically refresh every 2-3 seconds. Just make me angry ðŸ˜ ,1,0,,10/2/2020 4:07,,,com.microsoft.teams
gp:AOqpTOH6sr88no_V11lu8zmpR5ZsVrlX5DE7ScWXuRozQRBkXdbMKz01K2w73vUoj5PfOec6g07Az3LZpW7jwv0,Vishnu Bhaskaran,Bore app,1,0,,10/2/2020 3:58,,,com.microsoft.teams
gp:AOqpTOHOLnr5N6YPZC1tEX4p276QyiIqyqSz0rja_pZN3QWPUsXDPlf59Cog3Z4ggZtAyMg_MkFluoHwNRJt2Jk,RodhanLun lamgade,this is trash like ms companyðŸ˜• not working in androideðŸ˜ˆ,1,0,1416/1.0.0.2020091301,10/2/2020 3:48,,,com.microsoft.teams
gp:AOqpTOG8j9avQ9qDzu0iSrL44H640QRfyj7p3Y2365db7_XmUlSYjnTJGZqNC6wNajm7pezOR_VduO2mdPPrSpw,Letzy polo,Awful,1,0,1416/1.0.0.2020091301,10/2/2020 3:37,,,com.microsoft.teams
gp:AOqpTOHmTXzrHXUbb2Pk8fmPIRqThZ2wey3JPOtU7gnQ4Y6wdSWW2BVZpQwuk0zHNifYUItRgfDYSNNceBJ6rYM,Simar Kaur,This aap is very bad for online classes,1,0,,10/2/2020 2:04,,,com.microsoft.teams
gp:AOqpTOEL_u5E2bjWtkRAtJr3Kfzhqw-DSa-254Y7pfT-kzWS-2X6A-NEEsq8EhHIkowj4CKgLC-ojR1tJ28EIoo,Pratibha Tripathi,I should not give 1 star it is rubbish,1,0,1416/1.0.0.2020091301,10/2/2020 1:17,,,com.microsoft.teams
gp:AOqpTOEYCSCOZV_9gaX3_e1Q61Vrs1H4trJxlCi84GQrIWo_lBI_JqcdG0leJSOzALV7sSimKOsU_lJByRasFag,Vikit Dalal,My sign in using my company account is suddenly discontinued! Even though other MS products are working perfectly..,1,0,1416/1.0.0.2020091301,10/2/2020 1:13,,,com.microsoft.teams
gp:AOqpTOHTMUouF19Mv3-2P-RvrSq7ZW5RknoNtGNwdG4XM3VCEMubWvrTsHZwKhzZU_4I7Gjxr4djmI6s2GARjqo,Shelia Johlin,I hate,1,0,1416/1.0.0.2020091301,10/2/2020 1:04,,,com.microsoft.teams
gp:AOqpTOECXU8PUbx_dWUSZzIrnqG0vI3YrxA2nIeq_gqLNy5BZmFKpibDFOEDemmDM58n9kEvNhkwIYPNheunAns,Darren Hoshek,App keeps on trying to start even though I have logged out. It is getting so annoying I'm having to uninstall it,1,0,1416/1.0.0.2020091301,10/2/2020 0:27,,,com.microsoft.teams
gp:AOqpTOEDppNPo38mKjNqIASOP-4cj0SyLy3IFmsATp5e4GfUOxJgikjr3BF96CNppSIBCSI6kYXX1XvdIhemZMQ,JÃ©rÃ´me Lafrance,"It's a good app. However, because of the fact that EVERY time I open it I have to go through some kind of anoying feature pages, I cannot give it more than 1 star. @Microsoft do something about it!",1,0,1416/1.0.0.2020091301,10/2/2020 0:19,,,com.microsoft.teams
gp:AOqpTOHcPj_awwt5vDbcLNaeZXRnYWirtD3H-LF8TQVoCddEWVJCy_48xpUNbtVjoNUFtFH1zGhFXF3L28ZAXsI,Carlitosplayz,Eww school lol,1,0,1416/1.0.0.2020091301,10/1/2020 23:28,,,com.microsoft.teams
gp:AOqpTOHH5eb0_MndQNeJcgXDAh5FnXTxPsB2rS0wothOjRPHBHAjKfLxawvKetde7lCYQqK2MbGk-lTO8lMCqM0,Buster115 A,Bad,1,0,1416/1.0.0.2020091301,10/1/2020 23:23,,,com.microsoft.teams
gp:AOqpTOGdf8JlWNpARzpDfR3MU2BhLavnlIoCofb2eZHj6Ot4odglAp7xxmueu9a9kOPOcLQHiDkeL0dxiswLtUQ,Laurette Britania,Good guess,1,0,,10/1/2020 22:06,,,com.microsoft.teams
gp:AOqpTOEGcF318siosfBI57Sud3xqzegEQDWIzdqAq3lu8YkfNnv6yCVuE25ApMH0aGuYTBJfL1vRYtDzOxJ8KtI,David Chandler,"My company switched from Slack to Teams, and the Teams app won't work unless I install Workspace One and hand over control of my phone to my employer. That's a big fat NOPE. Also, Teams in the browser regularly makes my laptop freeze, and it's overall just infuriating to use. MS, your product is bad, and you should feel bad for inflicting it on the world.",1,0,1416/1.0.0.2020091301,10/1/2020 22:05,,,com.microsoft.teams
gp:AOqpTOEydgoqp-mwPpOoq-rY2BWbjRnoM0328jILWLFM9rzk7hBd4C46FixQN9HzAhFCyOGFyImRPhNfXEXVZi4,Marcus Brito,Worst meeting app ever,1,0,1416/1.0.0.2020091301,10/1/2020 22:02,,,com.microsoft.teams
gp:AOqpTOGvTB0dAuJuxAOferL0kHgjYMbCQMTaU42KXTyaLCsFtW90hRtCsl4NqkYyL9CXbbGrrFEENG66o1JiHv0,Daisy Garcia,School sucks :p,1,0,1416/1.0.0.2020091301,10/1/2020 21:57,,,com.microsoft.teams
gp:AOqpTOFV83pO8DB9nMDFsz40_5MN-hFmxshtQHo_05FvRaxxye38hihClZMEvYC56MVukVbmDPOcOVkcmr5bYds,Leonardo Manrique,"The app on PC is awesome, but the mobile app is the worst option among Hangouts, Zoom or even Discord. Notifications do not work all the times and chats sometimes even just sync after an app restart.",1,0,1416/1.0.0.2020091301,10/1/2020 21:39,,,com.microsoft.teams
gp:AOqpTOHmKdIXp8dgJQcLzheYeXmZBzFepUEpSpxleE-afQ_0SOCeTaVZYJyfCEljyNdp1YGdWRIZur_oPEsGmCs,TOSXE Playstation,it's horrible,1,0,1416/1.0.0.2020091301,10/1/2020 21:32,,,com.microsoft.teams
gp:AOqpTOHh6_72JzNCq2KszZEb5mk3fxPYNCxsw3ScqbdX5fmRMLesCVFIkvaijzVDDGV4RW5BUhipsE1rnj90Pb8,Manuela AvendaÃ±o,New versiÃ³n doesn't allow full screen :(,1,0,1416/1.0.0.2020091301,10/1/2020 21:16,,,com.microsoft.teams
gp:AOqpTOH9gHfYmC9C6ubxw0iebdiXM5Yz7hxGM7V_ijScrZhgT3CSt-fnmg41Ayzsg7Q1SsZ3rdWjXaPCsueLCPM,I'm a Cloud,"It will not open, i just keep gettig a popup saying that it keeps stopping!",1,0,1416/1.0.0.2020091301,10/1/2020 20:30,,,com.microsoft.teams
gp:AOqpTOFwwYNOfUQwWus4jatCKqpwWW1qfL2--g2BYVo3cwSn-axS5IKKeX6RzGJv9sfgKu9ejzSsnJ6Dj1W98Ew,Kanak Mishra,Not useful for me,1,0,,10/1/2020 20:25,,,com.microsoft.teams
gp:AOqpTOEKAYugqL3NsW-BHiuZJu19XMyfP4mxO9fae-YsW0hMY-uA7YrnM8gYF4gMxv0pG-9OgEU2ur_u81pw6bk,Ashlyn Gacha,"Slow, kicks me out, has REALLY bad problems. If this wasn't here I would be happy this is a horrible app to use!!! It's garbage doesn't even let me send anything is super slow this app sucks!!! I don't recommend.",1,0,1416/1.0.0.2020091301,10/1/2020 20:23,,,com.microsoft.teams
gp:AOqpTOFxJEg0V9Dy2LKON8Q0H1fFZ_839E5RICs-TLey9ucNDXIWRnnVbE0epmrLkgZ3ofRayiVYqBHTFShj7oo,Nabil Ahmad Ansari,Do not update this app because i am tying update this app lots off time still it is not update.,1,0,1416/1.0.0.2020072202,10/1/2020 20:03,,,com.microsoft.teams
gp:AOqpTOEWfv-svMKUHlORS6BRY5e747bIPyFEUrXm6JKXBfkklv--Hh0y6O2oe-Rk4iN_KuRKhZ1Ckv0If1pDjrw,Shaad Ali,Not at all a user friendly app. The problem is that it never seems easy to use if my online classes were not taking place at this app then I would've never used it . It shows slow connection detected even when the speed is around 15Mbps and the call gets drop suddenly and then I am unable to reconnect and then I have to go to browser even then also not able to connect. After the update not able to see recorded lecture on the app . Why the hell do you update it if it's only going to be worse .,1,0,1416/1.0.0.2020091401,10/1/2020 19:47,,,com.microsoft.teams
gp:AOqpTOFaDeri4zEhqSwr2ETQgLpFYibT05zM5O0Z0qpYWfG0tFnU3Sp7xAhM8g1RIY5syiCgDx0FdqYuS1nL0ek,Leanne Ellis,I have been trying to down load this on my phone for the last 45 minutes sondo not rate it one bit,1,0,,10/1/2020 19:45,,,com.microsoft.teams
gp:AOqpTOH-a2se7dGR_030sEPvXwcB8VmtVcOH8FwA6WPlhcU_uwkBHYQzNR2MzqeL8M9XnhCOHrg30fRhffC9crE,love4chillmovies,Not user friendly. I just wanted to join a meeting but it asks me to create my own team. I dont need to. I just nneded to join a meeting.,1,0,1416/1.0.0.2020091301,10/1/2020 19:25,,,com.microsoft.teams
gp:AOqpTOFy4yzTpcaIdnsKHDRnyfdKKSdCT9zBCx-uOmC3lMz9Eyw7OKmyU_g0fB5no9kAFaTyJnzhRmv3D_EX64I,Hudson Hais,for calling zoom is better teams sucks I hate teams,1,0,1416/1.0.0.2020091301,10/1/2020 19:21,,,com.microsoft.teams
gp:AOqpTOEmgcvMkuQQP5uiEPKjrFrxCgcOBHJ9jSUMyHsM1Q18uzmY2dPVWhOOOcEZ8acn6Ik24kEKDGgFjYx1L6w,Sarah Riddle,I can't sign in. It won't send me my code to my phone. I have tried for days. I am getting absolutely annoyed.,1,0,1416/1.0.0.2020091301,10/1/2020 19:13,,,com.microsoft.teams
gp:AOqpTOE7qA_HbvQakxG14kCsHtHWZZblF7o3CLZqWrdRzXFi94tlR2OFxJcD0Y5EHNKxzB9K5AhAgoKXlHiTYdw,Matijoss Pro,I hate school,1,0,1416/1.0.0.2020091301,10/1/2020 19:10,,,com.microsoft.teams
gp:AOqpTOGjzLS4i7eukWDBz0yQMEXF9pngmK9beJ2xvvl6nxGWt6OVwZkd8fiOY_ud8ArAHcniVQT2KNl887pHe-o,rojalin nayak,This is a good app.I like it. Thank you For making this app. Once again Thank you so much.,1,0,,10/1/2020 19:03,,,com.microsoft.teams
gp:AOqpTOFOr7pFfEmPcb9lH_yDk6DQYg6jGL-BmBLoGDGWwnRRgu44B-47WnEMHK02xxxUov2fApwcT8t5yWZt0QQ,Rehana Kousar,BECAUSE every time I download it a have to download it again on a link of my classes,1,0,,10/1/2020 18:53,,,com.microsoft.teams
gp:AOqpTOGTEFt_sC5Ih8C6aaJksR26iXORyOS4Xp3QqNyL7WLuRxSIspyBo0uBrZBgnzzF8fS_1el2s7_A1BA5zc0,Noor Al,No option to create a test call on mobile.,1,0,1416/1.0.0.2020091301,10/1/2020 18:04,,,com.microsoft.teams
gp:AOqpTOHyn6CMbn_8CstE7Z70nHS7I86ScnNyZmwO5gxO0K7VsoKEspvHdAZ5mEG_yW7KDSi3nlC6YQ5NgQYzsTs,ARUNRAJ SAIRAM,Worst app,1,0,1416/1.0.0.2020080601,10/1/2020 18:03,,,com.microsoft.teams
gp:AOqpTOGd4STVzHVitc4QRC2oBSgIqjEvGaRQbdgoQBbXVLZr-C9CFjV7DOzNup6jOIeUGXHQflL-1hLvn8jwW7A,James Depew,"Cannot receive incoming calls on mobile. Apparently, according to Technet, this has been ongoing for about 2 years with no fix. Garbage.",1,0,1416/1.0.0.2020091301,10/1/2020 17:53,,,com.microsoft.teams
gp:AOqpTOGIIv4uBdFLaE9jI0IXPI59LyIiwOQe9HsAIBu5_GZqVdVnu4pdeTOhbUPyp5kYHaRnMKhx-IP8Oo-lyH0,Tony Mathew,"Screen sharing is not working properly. When a person shares his screen from laptop , screen views as distorted . Im using redmi note 7 pro",1,0,1416/1.0.0.2020091301,10/1/2020 17:46,,,com.microsoft.teams
gp:AOqpTOGO4mbq19TegEcHjGUPI6JpMOFCjtijXpiNlCLzb7zWvtOEYq1uqPxVtobpUyFkp3PRuAtE94ZWF_ggv8Y,sonu suwasiya suwasiya,This is poor aap zoom is better,1,0,1416/1.0.0.2020091301,10/1/2020 17:34,,,com.microsoft.teams
gp:AOqpTOHlCSm1CelvAnSTVFufgBNehrJwU_1Jz-pH6aiW887MipcCvYs4j_PKrmhY8t22ieg1d5eQVNGciNWE0ag,Sara DÃ¡vila,Horrible,1,0,1416/1.0.0.2020091301,10/1/2020 17:31,,,com.microsoft.teams
gp:AOqpTOHIh4FMT1Yv9wEig9zloflZIfPkKKFdk25PnIRPLLlyb4wR1dkFPi9gWw6rmh7MwV3oceZdY0CRDYrhrDg,trollx ghostx1,Horrible,1,0,,10/1/2020 17:22,,,com.microsoft.teams
