reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appId
gp:AOqpTOH3U0wrOntvZbJ3s815TU4SpRT2_jm4gAS1oTmoYlfjcDWGfi9giBHeQK6STw7XEPc0x7rqGDnWcCCWr14,Arnab Kar,Not able to buy any plans. Showing error.,1,0,,10/2/2020 4:57,,,com.netflix.mediaclient
gp:AOqpTOHSBLGBw50HaT3j61KeSQoM1dPP3gbPUlAOainqz3UFKnvWAJ9w-R0ezu8vFpcvBJtXQrLmMH9hYaitGyM,jamie duque,Because of cuties #stopnormalizingpedos,1,0,7.75.1 build 26 35131,10/2/2020 4:17,,,com.netflix.mediaclient
gp:AOqpTOEUTD8YkpvNFicVzBs7ZO87ykAMDj9ap-0ZYqj7IqByAjZmH3ovI9lnPwaAKKDbpCqolhjCAACPH2y7LLk,CRoss Ross,App wont even open.,1,0,7.75.1 build 26 35131,10/2/2020 3:54,,,com.netflix.mediaclient
gp:AOqpTOG6eUeQzfQWFPo75A1-g2kQ6y9Ucfa3NgIdqLIv-vxhiJPY2WgVDYtczCl9EiIWdO_v71tE50pgUvN1jGQ,Deaf Shark,promotes pedophilia,1,0,7.68.4 build 38 35048,10/2/2020 3:47,,,com.netflix.mediaclient
gp:AOqpTOHfcUzegEsXFhhhalTlR_JR6jOEJdFNzp66LCspJ3F9pxmd0oa-18GDfw06Zlv2d7b6xYSi1Hfc2kChNPI,Jacob And Collyn Hazelton,Its dumb asf,1,0,7.63.0 build 13 34962,10/2/2020 3:40,,,com.netflix.mediaclient
gp:AOqpTOEM4rFnkz0a1rnxAk8S3-jLoO8UX-vvpVgx_2dFu58WWHk8m6mHGwafVdmftUpBVmS8C8JqKRRWSBVOsoE,adonis son,Wat happen to netflix? why is it that the app does mot continue to open?,1,0,7.75.1 build 26 35131,10/2/2020 3:29,,,com.netflix.mediaclient
gp:AOqpTOEMuaKERr9aZPla5I3C8SBiMKtjbJMiPXkxxWCj0c_UrKT6juSi96BenMqpP3sJ4kiAyODsdpVJHkmmJFo,Rebecca Tillero,It has been more than a week since we can not open Netflix. It was working fine more than two weeks ago and then all of a suddenly we have a Netflix screen with red rotating circle that will never open up to a screen of available movies and shows. Amazon Prime is working great so I know it's definitely not the problem with the TV but Netflix programming.,1,0,7.75.1 build 26 35131,10/2/2020 3:25,,,com.netflix.mediaclient
gp:AOqpTOG189dERAObY99IRSv4jPRJ6wvvvbq0atl9Z0mhJ4T-W2eyK051Bjs-nchrCJiGwq2mt09Zn29L7A1W9ro,balqisjay Jj,Ingt kn x yah byar rupa2 nya kna bayar adoii,1,0,,10/2/2020 3:25,,,com.netflix.mediaclient
gp:AOqpTOGGWQBn8Ex0HUV4aQ8wAL03JCb5trDInfRGHGSWI0DG7x845Wg_bKBEx_4bmQbmKiisziftp4BeMrEmmNU,Gingg Miano,why i cant log in... it starts yesterday after update.. pls fix this issue,1,0,,10/2/2020 3:07,,,com.netflix.mediaclient
gp:AOqpTOFG6_sFJkTRIshTMnrBPDCEIz-EKyjApgsk8G6HJwrPl6zZeIrvhjqK5pgS2x1EvN4jBpmAxAWJFyIn0WY,Greg Rappel,Doesnt work properly. Fix issues with regional content,1,0,7.75.1 build 26 35131,10/2/2020 2:55,,,com.netflix.mediaclient
gp:AOqpTOGe9lQv5tZ5PmyhejAdldz9Q4T4W_f6TjpWeuMLwaT8O0jTWjpPfSViK-PxhXzT06Mggpy-ZIF4s4eoizE,Jen Berog,I cannot connect to the server i already uninstall reset and all devices from laptop to phone cannot connect. I tried to contact via support even the web is down. Then they charge me yesterday. Annoying,1,0,7.75.1 build 26 35131,10/2/2020 2:41,,,com.netflix.mediaclient
