reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appId
gp:AOqpTOFRc_2BFc-XLQQySbRZcZZooMr27RAk-WvBfJW4vFL9qGIW9VlGygt6EGAHm0fuLYdw-sQO6Uq1fE9gVQ,ch hafeez 825,I like it,1,0,17.4.4,10/2/2020 5:02,,,com.zhiliaoapp.musically
gp:AOqpTOE4aMaH3v9sAwwcfMWXOjd7bpY56W5svP85CXa1F01NZzXRcIkZvsuHQZT-eOMpZg3dgmB8F0jPHYZlbA,Moscan Ug,Good,1,0,,10/2/2020 4:49,,,com.zhiliaoapp.musically
gp:AOqpTOHaBp8TMDds1QK4bIgEHVXsi_o1R1yMma4ORx6wzXy2m6P0FsyjZxNLJf-Y2yb_tapUvowGsX_yW74bpA,Cappin Ninja,It shows suicide on it,1,0,17.6.41,10/2/2020 4:27,,,com.zhiliaoapp.musically
gp:AOqpTOEv2nTod5TYXNIjl-cwlOVfmajEDtG9OWwGEH7LUthXzHpWpOup6zb_vufL4LrW_xP2SLUFusnBGPaEYA,Angie Bernal,"App de m**rda llena de gente pndja ðŸ¤¢, solo la vine a descargar para votar por BTS.",1,0,,10/2/2020 4:24,,,com.zhiliaoapp.musically
gp:AOqpTOE8DmWegA7xv0RvOrrzZW35zXFiTLiiR-Z3TW8mzrQDDHiyP-FSv8ONThtRl7EQ69SODkePZ15tkCJNXQ,NABIN SHRESTHA,Nice,1,0,,10/2/2020 4:19,,,com.zhiliaoapp.musically
gp:AOqpTOF7H2PtmoNGS2LKyoKBjbSmfPA3U_KcRdhOjCX4tEpfACbbqChnCRLN3gzwpqUvYMkwVJMoZLKAbOVkCg,Ximena Martinez,Is the horrible application for me ðŸ˜’,1,0,17.6.41,10/2/2020 4:05,,,com.zhiliaoapp.musically
gp:AOqpTOE0V6qcvr1StcWfh2xikAhSgcIdKGNu1QbnFF_uX81RzLuQcsh-tA3L2qBhm4pqx3xd8Ebao4KImG755A,Joe hastings,I My My,1,0,,10/2/2020 4:03,,,com.zhiliaoapp.musically
gp:AOqpTOEEQLgk8XIVbPROgljVUp5kq4MUxU7askAV5XHZ1tKn5JuPbV60xxfvydKjF7jQtZUt8ucBQ0xzx5vcIw,brandon aguilar,makes my friend cry ðŸ˜žðŸ’”,1,0,17.6.41,10/2/2020 4:00,,,com.zhiliaoapp.musically
gp:AOqpTOG_nQ5R82kqz6CLTDx7WHJD6BcxkSK-4yRAacJA1WSBS9R1S81yjH2e9xDEl4POkTQJar_ZEIo0x77HxA,Sadiq Faizbaksh,Tiktok block in this world,1,0,,10/2/2020 3:59,,,com.zhiliaoapp.musically
gp:AOqpTOFDHEyBBeBhsKbKl0Z8yfx-Z6vnE7g38IMtwNoy-cmMxuWcwgGB5fHARr_ctnlPGQfqUNV-WGu7AI_PKA,Martin Meldgaard,Super ghey,1,0,,10/2/2020 3:55,,,com.zhiliaoapp.musically
gp:AOqpTOF-pPBODNWRNLP2ko-Bw1X9dMBbk2dYy_hOSLlEs1-IA1LyK3qef-ElxULL5PGQ7VFM55drlpDvoM7N7A,Isha Ahmed,Take forever to downlowd.,1,0,16.6.4,10/2/2020 3:54,,,com.zhiliaoapp.musically
gp:AOqpTOEVrbFaoqnogZhAUnnGBPXKsNYThmVRcqK7ZlpVb_0JeLKUR7yWir54dEGUc0ZqbvSq_yG8idFfwwtVYg,Annie NOPSOUP,Dumbass app,1,0,,10/2/2020 3:52,,,com.zhiliaoapp.musically
gp:AOqpTOHSRIcctyE6yxDZ2kz5rQ8Oa2p6LcEJSFjTj0eluKnSKYmUBj7GvfGDnkQQRqpqvgZRXoTfW8LCuMc9BQ,Vipra Bhatt,I wish there was a negative rating option,1,0,,10/2/2020 3:48,,,com.zhiliaoapp.musically
gp:AOqpTOFdnqTkP7G-2aKMUZ9DzGT1vyzhA5eYMuw3cDsCM58ugeLtMqTv2l_ovGUDLB7lv80s9HPqJfQZunH6yg,Harrison Ma,R E D D I T F O R E V E R ! ! !,1,0,17.6.3,10/2/2020 3:46,,,com.zhiliaoapp.musically
gp:AOqpTOGCMBakGgxSE8TBqymNQcDg5XvO_N7vSm5rJgkIVaepY6qRgpTL2qIaUvNujngQlouaZegaCNfaWwFJOQ,Emily Freeman,I hate it cuz every time I hafe to loge in like it's dume it's like stupide,1,0,,10/2/2020 3:45,,,com.zhiliaoapp.musically
gp:AOqpTOHUFoD00gxQdfbhPo2CiQvIVVOZQdCrNGEG79BsumcB9xPH2o-HVmuoo1NCtqHi0FyEHUTHtXDJ7K1wyg,Well i have no idea,Bad,1,0,,10/2/2020 3:44,,,com.zhiliaoapp.musically
gp:AOqpTOEy0dWZqcXKv9UCEJdGlFZfcS5kSJdYFIckKWYvFRgfDYyGDxX9OzgoCDSfkz34cqkcRtGbw14xc-RA7g,Hamza Ameer,Hamza jan,1,0,17.6.41,10/2/2020 3:34,,,com.zhiliaoapp.musically
gp:AOqpTOGyIKFCUpHLg1EnygHcC4N-iRx7ysUHXhWx4f97jk6YrBQezHrQx7OTfn8zuQh17ADvqJBPl_buSAwtHQ,Tonisha Collins,Love this game,1,0,17.6.41,10/2/2020 3:31,,,com.zhiliaoapp.musically
gp:AOqpTOGuqGAPTdTwPQbwic1J9DTSEGS0RZcMu0_pVwaSAKVoIZ6qtEmqVwTYe3oOmJBfwSrxrGO7dAEi_Vpz0w,M.USMAN ALI,Green screen is not working,1,0,17.6.3,10/2/2020 3:27,,,com.zhiliaoapp.musically
gp:AOqpTOEO9qVYAVSzRGy-7mV7ymTrTHApxqnNnoHqjDL6V29faoVYOMAjkFAVI3d2A0GRGr7K-efTA9UzbPd4Kw,Ulises Robledo,Its not funny anymore and just distracted me from what I needed to do. I hope it dies.,1,0,15.1.4,10/2/2020 3:24,,,com.zhiliaoapp.musically
gp:AOqpTOGCEVNgnpk_JiYzBw60zKr5igdQCIfXEmRklOmz2T7XtC_UlEwyVvFCigWbmlna31EqAjDtHbf5SxVCOw,VegCeps,"This app is very buggy at the moment, big improvements needed, slow, endless ads that I can't close.",1,0,,10/2/2020 3:23,,,com.zhiliaoapp.musically
gp:AOqpTOEOGVRHNzOL9ZatAAE627E7M6tXG92PppmbJYS1ARBW6OLVgde7eRZ41Xp8QDOI87MUriJDsKlyY1gwHA,Kevin,Giving 1 star on the bases of a survey to improving tiktok first question AXE brand ....WHAT THE HELL DOES BODY SPRAY HAVE TO DO WITH YOUR APP ?,1,0,17.5.42,10/2/2020 3:21,,,com.zhiliaoapp.musically
gp:AOqpTOFMyh3-2ZhaIBoQm7Yd6Hgu2XrHtX_lhrqfNp6C-QEuPmO8Fk1P9m2_2DxdQouBedNFkdb2TbaiAiLswA,Mark Andres,horrible buncha gay people dancing around,1,0,17.3.4,10/2/2020 3:20,,,com.zhiliaoapp.musically
gp:AOqpTOEL9_HAh1iilBmRAdDxqHPLyw2hkPuK70kZRqqD1zjA_6WTM2MRxhnF4R-HK_sJihRmT-lXYZMsK8v2qQ,Cameron Paredes,There's no zero star,1,0,,10/2/2020 3:12,,,com.zhiliaoapp.musically
gp:AOqpTOEtxFdqIIBiJ8mmA8MgJ3-o0GtLk6uWek9K_BjqpALPB9trzb-MrR3yS2igRBqCFSIsC1lEmde8aMXFsw,Joshua Schinella,It's a horrible app full of underage sexual dances that 12 to 17 year old girls do it's plainly disgusting,1,0,,10/2/2020 3:07,,,com.zhiliaoapp.musically
gp:AOqpTOEkKOHX6VlXhHyhG5WqPvdviVqtS3hgc_6Zj8jALCWu8wDT4JbH5eVJwC1TUwL7AFzzo4mF23edUeCiNw,angie may,Deleted this app it's keeps trying to download I don't want this app,1,0,,10/2/2020 2:56,,,com.zhiliaoapp.musically
gp:AOqpTOHco7mKr9t-vFQxjfChh1WKL1GhWcW5NTV46yVZwN1904q6xOBfhncAjcv6srbTde6KNolpIuiqUmP7gA,Lex D,I rlly used to love tiktok but now for some reason i cant watch anymore vids :/ its very annoying and it restrics many things i could have done. Now i just feel this should not be an app anymore :(,1,0,,10/2/2020 2:52,,,com.zhiliaoapp.musically
