content,appId
"I'll give a better rating when TikTok returns the ""Layout"" feature to Android phones. Also, the app takes a whopping 70% of profits gifted to creators during live streams. That's a bit too much, so I'm encouraging my followers to gift in ways outside the TikTok app now.",com.zhiliaoapp.musically
They removed my last 2 reviews so that just shows how bad this app is,com.zhiliaoapp.musically
"I rated this 1 star cause I can. And like there are rasict, Trump supporters, homophobic and transphobic and overall dumb people on this app. But everything else it ok.",com.zhiliaoapp.musically
Good riddance,com.zhiliaoapp.musically
Good app,com.zhiliaoapp.musically
"I give no stars bcuz they deleted a video i made for my granddaughter to bring a smile on her face bcuz she hasnt seen me in a long time, due to the pandemic. She is already sad as it is bcuz she lost her mom. (My daughter) due to kidney disease. She hasnt smiled the way she used to before her loss. And when i made 2 videos foe her of het mom she smiled. She asked if i could make one with pictures of me and her so i did and tik tok deleted it. That was just so wrong of them to do that.",com.zhiliaoapp.musically
That's Greatest App,com.zhiliaoapp.musically
I like tik tokðŸ’–ðŸ‘,com.zhiliaoapp.musically
Hello how are you I've been making videos for days but one video is not going viral I have also reported on tiktok No response or Then I am forced to report here Now you guys do something or I'll delete it this tiktok account plzzzzz help me,com.zhiliaoapp.musically
Really useless app,com.zhiliaoapp.musically
Kamal tiktok Hasnain,com.zhiliaoapp.musically
â¤ï¸,com.zhiliaoapp.musically
Very bad app.,com.zhiliaoapp.musically
Ass app,com.zhiliaoapp.musically
Noob,com.zhiliaoapp.musically
Dont bother with it. It won't let me open the app without signing up however everyone else is able to download it and get straight into watching it without signing up/creating an account. Have tried to uninstall and reinstall 10+ times. Still unable to view it without signing up.,com.zhiliaoapp.musically
kashaf fiza bhatti,com.zhiliaoapp.musically
MD LOKMAN,com.zhiliaoapp.musically
It's gay like my brother,com.zhiliaoapp.musically
This app is good but That app not give same views in all videos and It gives views those videos which have good camera and not a good acting and it gives more views the person whuch have good face and attractive looks so I think the tiktok do all user are same and dont do like that type of activities. ID=@anil..90,com.zhiliaoapp.musically
Ok,com.zhiliaoapp.musically
Worst experience with this new update.,com.zhiliaoapp.musically
Its okay not bad but not to good,com.zhiliaoapp.musically
It sooooooo baddd,com.zhiliaoapp.musically
This app is super toxic!!!!!!!!!!!!!,com.zhiliaoapp.musically
I hate it,com.zhiliaoapp.musically
Bad,com.zhiliaoapp.musically
It is trash,com.zhiliaoapp.musically
