reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appId
gp:AOqpTOGPbaZp4-suXpJJZACbSVltrRhy4gz8z08-h4csHBZ6s9O5ca4CUFAT_RCK_rpASzYFCHDe9hsL9LVIUqw,Sandip Revgade,ðŸ‘Œ,1,0,2.20.108,10/2/2020 5:03,,,com.whatsapp
gp:AOqpTOHc5t0dUPfGbHyDNtiacU_ch-fzCaliVJG999CkoKCMny1nWDRs1GEBWlBjr5x2EP85gWDy-mNC6xDyz7Y,golden khanna,Super,1,0,2.20.199.14,10/2/2020 5:02,,,com.whatsapp
gp:AOqpTOEk19p7QBZqA4e9f_xzdsLWGZEJdbhoOZ0SMvHkN4Jzx8Zwc93DVCHu5GWpTngeUsXyhvMRhWHW52455-g,Zaheer Patel,Good,1,0,2.20.108,10/2/2020 5:01,,,com.whatsapp
gp:AOqpTOF2rWVGswZ7JOFxHrRZ_VW0yFg6_HmywwltgAfpCs3Rj2qjm7u5gMf3IHVaNoQbBkIeqDovW4hqAgtDOIc,ajay gusain,Status not upload 1 and more,1,0,2.20.200.22,10/2/2020 4:59,,,com.whatsapp
gp:AOqpTOE9lv58czsZyanf3gins5dBCWk6hOY8U_BtpK_ZRTjL19NVeeGAlGMIBHXOxQ-CN8jMolbPcr25ohJCL9Y,Surendarpratap Singh,Nice app,1,0,2.20.172,10/2/2020 4:56,,,com.whatsapp
gp:AOqpTOHc232GtDaAm7NaWJ7pDVUvUZvgHTitaEwbJxRTvy_xl2c2YClo3cJq1ZtDrf6MnDp7WkFUeb_q2OIShks,anil Sharma,Bahut sadal app bate mat baniye Kabhi. Je baniy okare upar hamar shrap padi,1,0,2.19.216,10/2/2020 4:55,,,com.whatsapp
gp:AOqpTOEiStW6KBkdH3pNvATLvdT902tAtiif1Mag6ZCcKqAt9WVQZ5_ohBmxhMdAuz28QYDGOKYniUb0LR2vgyA,Bernard Mwilu,Wahoo the best app!!,1,0,2.20.108,10/2/2020 4:55,,,com.whatsapp
gp:AOqpTOHqGTp3tnP3J90YmC87GfyKZxQ8x6CpB8CdH2SxRuto7xYcdnv284LkifFs3JMMjMAjv4IsQ81vJ_pxxAc,Victory Chima,uselsss,1,0,,10/2/2020 4:52,,,com.whatsapp
gp:AOqpTOH1VmTUJq4H_MepVHvKCcI_UihYDoLoU76S4my1DIJsxIsDMDcI1Kht16Gv8HGW5yeI2oxtk1eZR1bP7e8,Nk Kumar,I like app,1,0,,10/2/2020 4:51,,,com.whatsapp
gp:AOqpTOFifUFfNCEYjHmfXLoWgmWRrf7kWXJ-Fec7dt2WMoX8EDlZLiOOiZEBUWPtyw2Fs-Xm5ULbslaL9-Hhewg,sheraz zia,Whatsapp,1,0,2.20.199.14,10/2/2020 4:50,,,com.whatsapp
