content,appId
Its so helpful,com.whatsapp
I can't post long video files and WhatsApp account does not carry history same facebook messenger if uninstall and install again,com.whatsapp
Nice,com.whatsapp
Wow its amazing,com.whatsapp
Plzzzz fix yours bugs,com.whatsapp
Viri nice,com.whatsapp
Bad even worst,com.whatsapp
Video uploading is very slow,com.whatsapp
No bored ðŸ˜´,com.whatsapp
Meadia visibility is on but not shown in gallery,com.whatsapp
ï¼šhirakumar,com.whatsapp
CANT USE MY WHATS APP HELP,com.whatsapp
I cant restore my old messages in my mew phone can you helpe for doing it,com.whatsapp
Pls chat lock ðŸ” daldo,com.whatsapp
I don't know what happened to this app some messages are not coming.,com.whatsapp
Thus us a very bad app because for updating i need to delete 4 apps,com.whatsapp
I can't open an account to my new numberðŸ˜ ðŸ˜ ðŸ˜ ,com.whatsapp
mst,com.whatsapp
No ðŸ˜±ðŸ”¥ have option story share!,com.whatsapp
Worst update,com.whatsapp
Privacy problem,com.whatsapp
When i play voice message mobile is turned off due to sensor,com.whatsapp
Not responding,com.whatsapp
It keeps on breaking and telling me there is a chat error i need to restore chats....this updatedversion is poor,com.whatsapp
Good experience ðŸ˜‰ðŸ‘ðŸ‘,com.whatsapp
I Love You,com.whatsapp
This is a Good app,com.whatsapp
Stupid app,com.whatsapp
Can i have lots of download,com.whatsapp
very slow,com.whatsapp
Maiya,com.whatsapp
Bogas,com.whatsapp
This app not started,com.whatsapp
Ban my account ðŸ˜¥,com.whatsapp
Fine.Best service,com.whatsapp
SupeÃ¦,com.whatsapp
My WhatsApp number has been banned,com.whatsapp
The app is not opening for me,com.whatsapp
vd,com.whatsapp
Dad,com.whatsapp
Their Should be more options of pins for the per/number chat or conversation I can't crop the pictures properly while removing or adding in display pictures,com.whatsapp
Very bad,com.whatsapp
This app is good for secure messages and call,com.whatsapp
"The app doesn't update yet i have bundles,i don't understand why from 5days ago now its a day ahead of required date it doesn't apply",com.whatsapp
Not good,com.whatsapp
Raf service,com.whatsapp
Gdg,com.whatsapp
Very bad.,com.whatsapp
"The best app till the last update , but now while viewing status i cant close the status by once i must try thrice or more to close the status , my one try to close status will bring the next status or the previous , pleese fix this bug in days or u may loose many users ðŸ˜’",com.whatsapp
App bau j hang mare che,com.whatsapp
"Worst app. They banned me just for someone who have intentionally reported me. While i did not did anything, How they can ban me? & from past 1week I'm mailing them but there is no reply from them. I just want to ask them, Is this your service?",com.whatsapp
Too much issue Start,com.whatsapp
I am download what's app not open,com.whatsapp
Fajah,com.whatsapp
Suddenly restore option come and my all data lost..what should I do now??? Very poor app,com.whatsapp
Not able to Fwd any Video or pic messages from one group / personal chat to broadcast message group. Better remove options of broadcast why just fooling people then...,com.whatsapp
hkumar,com.whatsapp
Oo karunilaa andhvaa aaa anadaaa ðŸ˜µ,com.whatsapp
Anoop,com.whatsapp
Good,com.whatsapp
Nakul,com.whatsapp
Mr ayush Verma ji,com.whatsapp
Bakar,com.whatsapp
Excellent,com.whatsapp
Debkumar,com.whatsapp
Smart phone,com.whatsapp
Yas,com.whatsapp
This is were nice app for mother and father who didn't how to type they can send by voice,com.whatsapp
Good,com.whatsapp
Bad,com.whatsapp
"Poor Quality & Performance Nowadays it hangs every now and then, cannot access to chat easily despite multiple tapping. At times tapping on a particular chat and opens some other chat Quality and performance both are deteriorating nowadays likewise for video calls. Expect the bug to fix and have smooth functioning",com.whatsapp
Ratna raju Sri,com.whatsapp
It comsumes more storage more than i use it,com.whatsapp
"He whatsapp my btothers whatsapp is not opening and showing youre offline , his mobile is Samsung M20 but no respinse whatsapp plz .",com.whatsapp
Tiktok,com.whatsapp
In vivo phone there was fake whatsapp agar msg aata hai toh whatsapp pe nahi likha aata kitne msg aye kholne ke baad pata chalta hai,com.whatsapp
Nice,com.whatsapp
That's very nice ..... We discuss about anything in this app,com.whatsapp
Best app and fast pofirmans,com.whatsapp
It was good but now video can't open,com.whatsapp
This app sucks sucks,com.whatsapp
Later,com.whatsapp
I don't know what happened to this app with last update. Getting forced stop again and again.,com.whatsapp
Nice,com.whatsapp
I was totally happy with this app.. But now the status are loading slowly and to load statuses it takes a lots of network.. But before It was a very good app but now not,com.whatsapp
Nice App,com.whatsapp
Irshad,com.whatsapp
Aam vo to vo Sk,com.whatsapp
This app is good,com.whatsapp
Good,com.whatsapp
what's app this app is not updating,com.whatsapp
Good,com.whatsapp
"If someone send me anything, it doesn't get saved in gallery",com.whatsapp
Very bad,com.whatsapp
Bad WhatsApp,com.whatsapp
one issue was comeing in whatapp that i will not getting any notifications of any contact from last one month,com.whatsapp
